ID,tipoRiesgo_code,descripcion,probabilidad_code,frecuencia_code,impactoCualitativo,impactoCuantitativoDolares,impactoCuantitativoDias,impactoCuantitativoEsfuerzo,estadoaccionRiesgo_code,fechaInicio,fechaFin,dueDate,fechaSeguimientoPCC,issue,createdAt,createdBy,modifiedAt,modifiedBy
73209d50-22b5-49f6-b1a8-07f1fe9dc92b,91f73b2b-96cf-41c8-a704-80b872d6227b,"A raíz de la no salida en productivo de F1 de KPI's, GEB manifiesto en su momento a MSG no poder continuar con Fase 2 pues no contarán con disponibilidad de recursos, quienes estarán inmersos en el informe 2024. No hubo acciones remediales al respecto.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Disponibilidad de recursos,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
f1f03753-e01c-422e-b11e-72ffd0b7cb06,91f73b2b-96cf-41c8-a704-80b872d6227b,"El Cliente reiteró en su momento su insatisfacción frente al proceso de captura/selección de datos para la ejecución de los indicadores y la operación que le ofrece a través de la implementación, poniendo en riesgo la continuidad del proyecto. No hubo acciones remediales al respecto.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Alcance deseado del proyecto,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
b2f45897-4233-4b9e-ae33-91b5214aadc0,91f73b2b-96cf-41c8-a704-80b872d6227b,"El nuevo release de las soluciones de sostenibilidad (SCT Universal Model) generó incidencias y cambios (disponibilidad, alcance) de funcionalidades que demandaron esfuerzos adicionales o el no cubrimiento de requerimientos del Cliente que generaron esfuerzos adicionales. Hasta el momento se identifica que el cambio de versión no se relaciona con la insatisfacción del Cliente frente a la experiencia de usuario, causa de detención de pruebas UAT en la Fase1 de KPI's.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Alcance de la solucion,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
d36472ef-7c61-4f69-b0f9-89a3481dd0eb,c8f855d0-5224-4ba5-8bc5-ce9c4adfe941,El Partner requiere validar y ajustar el plan del proyecto resolviendo sus problemáticas de consultoría e incluyendo las actividades del caso para sincerar la salida en PRD.,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Plan de proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
8692e667-5bd7-47dd-8538-92d02c701c46,1d4562f4-bdb9-4585-b68a-1f290cd53381,La falta de orientación estratégica del Partner al Cliente sobre su proceso de inteligencia de negocios puede conllevar a una no adecuada entrega de valor.,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Orientacion estrategia del Partner,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
7953b56e-83ae-4e05-ad34-eb954af02881,1d4562f4-bdb9-4585-b68a-1f290cd53381,"Las desviaciones reportadas e issues abiertos comprometen de forma significativa la salida en PRD programada para el 1° de Octubre de 2025, más allá de los compromisos adquiridos para recuperar el retraso que presenta el proyecto.",fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Desviaciones de tiempo,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
7b9add22-6109-4b99-be07-7c010da76247,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,"La imposibilidad de contar con el Software SAP GTM, va a requerir la construcción de un desarrollo significativamente complejo.",1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Complejidad de desarrollos,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
4061b839-3b47-4f15-8f2b-cbd7be0032cc,1d4562f4-bdb9-4585-b68a-1f290cd53381,"Tiempo que le tomará a BOLD en cubrir sus desarrollos de Integraciones, el cual afectará la línea base actual del proyecto (particularmente la integración Core).",fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Desviaciones de tiempo,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
e943a7db-eb4a-4ebc-9dcf-d4aaa4fb60a8,1d4562f4-bdb9-4585-b68a-1f290cd53381,"Revisión de consideraciones a nivel de infraestructura (validación Sizing, activación de servicios) que puedan llevar a problemas en la operación.",fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Infraestructura del proyecto,10000,30,1 mes,estadoaccion-002,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
e22e6001-f786-480e-a19a-97bfcf198898,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,"Tiempo que le tomará a CSTI en cubrir sus desarrollos de nuevos GAP's, el cual afectará la línea base actual del proyecto.",1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Desviaciones de tiempo,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
ac57ac39-c2df-43a2-bbb2-38cf92554e27,1a4d54b4-6346-4d52-8d93-473f278ee4f2,Posible desviación en la fase de realización a causa de las decisiones del Cliente frente al proceso de facturación electrónica (CSTI adelanta propuesta frente a su manejo online directamente desde SAP sin usar proveedor externo como acción de mitigación).,1e98d65b-80e9-4651-984c-77b7b4d67f02,1e98d65b-80e9-4651-984c-77b7b4d67f02,Desviaciones de tiempo por facturacion electronica,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
feddfa85-7613-4af2-943d-1b0a2cacc4f5,1a4d54b4-6346-4d52-8d93-473f278ee4f2,"El uso de decimales en la Moneda Colombiana continúa representando un riesgo, hasta finalizar las pruebas funcionales que validen su correcto funcionamiento.",1e98d65b-80e9-4651-984c-77b7b4d67f02,1e98d65b-80e9-4651-984c-77b7b4d67f02,Alcance de la solucion,10000,30,1 mes,estadoaccion-002,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
226c2fab-a62c-4185-8e50-b86b6e0cc16a,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,Adelantar oportunamente la transferencia de conocimiento al equipo del proyecto funcional.,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Transferencia de conocimiento,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
65136e7b-86bc-45ee-b0b0-9a0f37888ac7,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,Se realizo la revisión de la matriz de riesgo y no se encontró ningún adicional.,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Matriz de riesgo,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
85b67db6-41ad-4c93-8d6b-8e053faf404c,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,"El uso incorrecto de la metodología SAP Activate dentro del proyecto, puede llevar a que no se contemplen aspectos relevantes en la gestión de la implementación y por ende en la calidad y cubrimiento recomendado de la misma.",1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Uso erroneo de metodologia,10000,30,1 mes,estadoaccion-002,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
1ede87db-8ff6-4647-8d45-c81c52fd9b29,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,El nivel de conocimiento del Partner frente a la adopción de las Fiori’s y agentes IA disponibles en S/4HANA puede llevar a no habilitar las mejores prácticas y el valor de la solución.,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Conocimiento del Partner,10000,30,1 mes,estadoaccion-002,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
88c5c33d-0eb6-439a-9994-ef355b6c1979,9be1d446-95d0-49de-9b44-2060b165fd78,El nivel de conocimiento del Partner frente a la arquitectura y alcance de los anillos de ciberseguridad de S/4HANA puede no brindar la orientación requerida al Cliente para su entorno IT.,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Ciberseguridad,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
83e7da88-cd65-401c-b2d7-32e8486fe5e5,a42c9a6a-9daa-4330-aec2-bd5c79a4eecf,"Frente a la implementación, la inexperiencia de Softtek en HCM y la dependencia en consultoría de NBC con reiterados incumplimientos puede conllevar a nuevas desviaciones e insatisfacciones del Cliente. Desde SAP se propone plan de intervención.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Falta de conocimiento del Partner,10000,30,1 mes,estadoaccion-002,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
3e635ac6-cefc-4f2e-93ee-6bbff81c2d1b,a42c9a6a-9daa-4330-aec2-bd5c79a4eecf,Procesos de negocio de Nómina inestables.,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Dificultad con los procesos de negocio,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
903c2793-1140-40ed-83d4-e97d1efe1b9c,a42c9a6a-9daa-4330-aec2-bd5c79a4eecf,Plan de proyecto no es estable – no se cumplen compromisos. Softtek como plan de remediación compartirá un nuevo cronograma (nueva línea base) a partir del 26 de mayo.,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Plan de proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
adf45741-c302-45a2-b510-194705491459,c8f855d0-5224-4ba5-8bc5-ce9c4adfe941,"Falta de liderazgo y gestión del PM de Softtek. Frente a la posible inadecuada madurez a nivel de gerencia por parte del Cliente, Espinoza ha incorporado una nueva gerencia de proyecto.",fbaa0c09-78d8-4251-a4bb-a1d539708eb9,fbaa0c09-78d8-4251-a4bb-a1d539708eb9,Gerencia de proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,True,,,,
d394279b-679f-4447-96e8-3ef254c2e504,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,Cliente indica corresponsabilidad de SAP al haber “asignado” a Softtek (palabras del Cliente). Como plan de atención al Cliente desde SAP se gestiona un Assessment a ser cubierto por Softtek.,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Responsabilidad financiera sobre la desviacion,10000,30,1 mes,estadoaccion-003,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
0accbbef-5909-4a3d-80bc-0f0a51d4db50,f0e3aa37-408d-4b65-b9a0-059f1aad145a,"La dinámica de pruebas, identificación de necesidades, definición de ajustes e implementación en MES que puedan afectar SAP, no permite tener un dead line de cierre debidamente planificado.",83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,83501a8e-fdc0-46a6-9bd3-41cf84dd1e80,Simultaneidad de proyectos,10000,30,1 mes,estadoaccion-002,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
cc3723ba-ddc1-45c7-aede-c607ce5a56f1,b8f2cf4a-bbdc-47fa-824f-749e9af639d4,"Transporte, el Cliente solicita más funcionalidades a las previamente aceptadas con LETRA.",1bbedfdf-998b-43b6-9efb-dfc7469bcb95,1bbedfdf-998b-43b6-9efb-dfc7469bcb95,Alcance deseado del proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
644c35e4-ba7e-4aa6-958b-58577cfb947d,1a4d54b4-6346-4d52-8d93-473f278ee4f2,"Precursores, riesgo en el cubrimiento legal a reporte de entes de control y Mercado de exportaciones.",1e98d65b-80e9-4651-984c-77b7b4d67f02,1e98d65b-80e9-4651-984c-77b7b4d67f02,Alcance deseado del proyecto,10000,30,1 mes,estadoaccion-001,2025-07-01,2025-07-31,2025-07-31,2025-07-15,False,,,,
