ID,pilar_iD,matrizRiesgos_iD,fecha,fase_iD,estado_iD,cliente_iD,descripcionFase,fechaGoLiveActual,salidaProductivo,comentariosimplementador,resumen,estadoTopicosRelevantes,gestionRecursos,aspectosClaveActivate,consideracionesRelevantes,incidenciasRelevantes,recomendaciones,otrosTemasRelacionados,createdAt,createdBy,modifiedAt,modifiedBy
391cdde0-3468-421d-9b6d-ef554abcf71e,f9ced297-1d01-4d88-96fd-aa7d6a504b91,73209d50-22b5-49f6-b1a8-07f1fe9dc92b,2025-10-07,4b3a7a8b-9ccd-4fa5-a443-f7ff85aed471,180f218d-2e17-4de4-bda0-6e7e889015c3,1ebef355-5085-4fb7-b460-f3116f8f51d8,Fase de analisis,2025-11-11,true,Equipo tecnico solicito redefinicion de alcance,SemaSAP de cambios relevantes,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
ebac71f6-3186-4626-b310-a0d0f2d56515,ac8153b2-1e34-4460-8ce8-20c633072a7c,f1f03753-e01c-422e-b11e-72ffd0b7cb06,2025-10-07,375d609c-2eb6-4967-ac5d-41e62c18ce64,3b17def2-9d28-4988-a2b2-c86262b11ce1,6425fa00-7e0b-4b89-95ad-64a7b9ee77ca,Fase de dise�o,2025-11-11,true,Retrasos leves por disponibilidad de usuarios clave,SemaSAP de coordiSAPcion operativa,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
4e810153-7a17-48e8-a794-d6c99690f5a5,12bac863-eb0f-4fde-a881-65cd9066739c,b2f45897-4233-4b9e-ae33-91b5214aadc0,2025-10-07,efcb3b8c-3354-47d1-ab01-0f50da080af6,180f218d-2e17-4de4-bda0-6e7e889015c3,8fbb74d2-68d8-4386-8a07-d695b35dc168,Fase de configuracion,2025-11-11,true,Pruebas unitarias avanzan segun cronograma,SemaSAP tecnica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
d17a15f5-cd92-4c0c-8b40-0fd5de7280ec,b18d1e3f-9738-4d75-a90b-1e48fff6f572,d36472ef-7c61-4f69-b0f9-89a3481dd0eb,2025-10-07,31ae59d7-8a59-42dd-8cd4-43dca06e7a62,3b17def2-9d28-4988-a2b2-c86262b11ce1,6b9cab21-40bc-44ab-9937-a78a7a97d974,Fase de capacitacion,2025-11-11,false,Se requiere mayor disponibilidad del equipo cliente,Capacitacion en curso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
e807416e-6781-47aa-8cf8-780bf1943ec5,2d23c811-1d8c-4a85-bbf7-c959735b1773,8692e667-5bd7-47dd-8538-92d02c701c46,2025-10-07,867390e0-8d82-4b34-af3f-02c8f083ba7f,3b17def2-9d28-4988-a2b2-c86262b11ce1,11df55ff-082c-46ee-831b-768407134309,Fase de integracion,2025-11-11,true,Bloqueos por dependencias exterSAPs aun sin resolver,SemaSAP critica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
b6ec338d-d875-4298-8330-54bf975b0861,26184939-6d86-4b7d-80b1-9e198416bd0d,7953b56e-83ae-4e05-ad34-eb954af02881,2025-10-07,6c23ed16-2804-4c55-b3a7-0f4df284fb49,180f218d-2e17-4de4-bda0-6e7e889015c3,f2d13217-da15-4f0f-9304-a740d6e264bf,Fase de pruebas,2025-11-11,true,Cliente ha solicitado ajustes de alcance,Demoras operativas,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
9bf8f996-61f1-4013-988c-e078c64988ed,24db415a-6d9f-4af1-a0d2-2a45fbb0b997,7b9add22-6109-4b99-be07-7c010da76247,2025-10-07,4b3a7a8b-9ccd-4fa5-a443-f7ff85aed471,3b17def2-9d28-4988-a2b2-c86262b11ce1,26e207aa-68c8-43f4-afcc-73d4c3a384a2,Fase de validacion,2025-11-11,true,Proveedor no entrego componentes a tiempo,SemaSAP bloqueada,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
3abd4c7b-5b2d-4fc7-86fd-f3fb6c68764e,f791fae6-9d37-4474-a7d2-5dad6dc93208,4061b839-3b47-4f15-8f2b-cbd7be0032cc,2025-10-07,375d609c-2eb6-4967-ac5d-41e62c18ce64,180f218d-2e17-4de4-bda0-6e7e889015c3,dc2b8e65-9d4f-4f8f-a1d0-4594573fd63d,Fase de pruebas E2E,2025-11-11,true,Se solucioSAPron bloqueos de red,Estabilizacion en progreso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
2972837e-5e7d-479c-bd8a-ad5b03d32be2,93cadda1-578c-4e33-a83d-c239748f4c3e,e943a7db-eb4a-4ebc-9dcf-d4aaa4fb60a8,2025-10-07,efcb3b8c-3354-47d1-ab01-0f50da080af6,3b17def2-9d28-4988-a2b2-c86262b11ce1,677cae53-b0ac-41c8-803f-4acaf2e40dec,Fase de cut-over,2025-11-11,true,Ajustes en el sistema aprobados por cliente,Fase fiSAPl previa al Go-Live,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
8a94a940-0bb8-4af9-8696-be23b8dc49f0,f518b6ce-d115-405d-b44f-05f120a63904,e22e6001-f786-480e-a19a-97bfcf198898,2025-10-07,31ae59d7-8a59-42dd-8cd4-43dca06e7a62,180f218d-2e17-4de4-bda0-6e7e889015c3,314ed9ed-58e2-4650-826d-a32352e57b0b,Fase post-GoLive,2025-11-11,true,Equipo de soporte detecto tickets criticos en sistema,Analisis postproductivo,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
ea717fbb-ba2c-4fea-a87c-43c7cd66797a,f95647da-14d0-4563-a2fe-5b0686690781,ac57ac39-c2df-43a2-bbb2-38cf92554e27,2025-10-07,867390e0-8d82-4b34-af3f-02c8f083ba7f,3b17def2-9d28-4988-a2b2-c86262b11ce1,87eb36be-e710-467b-ac7a-d44806f2cd0e,Fase de analisis,2025-11-11,true,Equipo tecnico solicito redefinicion de alcance,SemaSAP de cambios relevantes,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
5a0041db-a750-4479-8a6f-63bd33424778,60c07886-dfd0-41a9-b6db-200ba64f90a2,feddfa85-7613-4af2-943d-1b0a2cacc4f5,2025-10-07,6c23ed16-2804-4c55-b3a7-0f4df284fb49,180f218d-2e17-4de4-bda0-6e7e889015c3,079991c6-aef1-49b8-8565-f5721bc86929,Fase de dise�o,2025-11-11,true,Retrasos leves por disponibilidad de usuarios clave,SemaSAP de coordiSAPcion operativa,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
ff1cdbfc-3d00-48d4-8549-6f0690c33eff,2e0e3b00-8c08-438a-8602-4c1eab90292a,226c2fab-a62c-4185-8e50-b86b6e0cc16a,2025-10-07,4b3a7a8b-9ccd-4fa5-a443-f7ff85aed471,180f218d-2e17-4de4-bda0-6e7e889015c3,92d65b9c-4b9f-499e-8364-a91052f2d450,Fase de configuracion,2025-11-11,true,Pruebas unitarias avanzan segun cronograma,SemaSAP tecnica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
9f6cf2d7-f457-44d7-aef6-290df734676f,928ff7ad-42d5-4752-81e5-a04ff038f4e5,65136e7b-86bc-45ee-b0b0-9a0f37888ac7,2025-10-07,375d609c-2eb6-4967-ac5d-41e62c18ce64,180f218d-2e17-4de4-bda0-6e7e889015c3,6b3cdbee-1444-49ad-a4c8-3c29a12e9847,Fase de capacitacion,2025-11-11,false,Se requiere mayor disponibilidad del equipo cliente,Capacitacion en curso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
db656877-d56f-49d7-bc4e-d022e6f747e4,6bc166a4-b71c-4067-88b6-7d3a948fd0fb,85b67db6-41ad-4c93-8d6b-8e053faf404c,2025-10-07,efcb3b8c-3354-47d1-ab01-0f50da080af6,180f218d-2e17-4de4-bda0-6e7e889015c3,83e5bf99-e082-4d1c-aa37-625d695dd24c,Fase de integracion,2025-11-11,true,Bloqueos por dependencias exterSAPs aun sin resolver,SemaSAP critica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
fd92ed93-73d7-4099-ab29-4770d0acfd11,25442788-7dda-49a0-8616-3e120d90bc78,1ede87db-8ff6-4647-8d45-c81c52fd9b29,2025-10-07,31ae59d7-8a59-42dd-8cd4-43dca06e7a62,3b17def2-9d28-4988-a2b2-c86262b11ce1,025cf75e-c0e0-488d-9595-b32cb92ea1d7,Fase de pruebas,2025-11-11,true,Cliente ha solicitado ajustes de alcance,Demoras operativas,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
cd9df0c4-4018-4b0f-9a13-eb3e128165dd,f797fb74-e1c4-4edc-9f19-dbe1bc7f467f,88c5c33d-0eb6-439a-9994-ef355b6c1979,2025-10-07,867390e0-8d82-4b34-af3f-02c8f083ba7f,3b17def2-9d28-4988-a2b2-c86262b11ce1,1ebef355-5085-4fb7-b460-f3116f8f51d8,Fase de validacion,2025-11-11,true,Proveedor no entrego componentes a tiempo,SemaSAP bloqueada,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
8172ea97-47b8-4a19-8401-1c2445a252e5,77e200e0-c120-4284-9cc2-1fc34437f1df,83e7da88-cd65-401c-b2d7-32e8486fe5e5,2025-10-07,6c23ed16-2804-4c55-b3a7-0f4df284fb49,3b17def2-9d28-4988-a2b2-c86262b11ce1,6425fa00-7e0b-4b89-95ad-64a7b9ee77ca,Fase de pruebas E2E,2025-11-11,true,Se solucioSAPron bloqueos de red,Estabilizacion en progreso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
19d7e957-a9d3-4619-9848-e4d2459521a6,4e2ce28e-e670-4774-b3ca-7301bfac76ca,3e635ac6-cefc-4f2e-93ee-6bbff81c2d1b,2025-10-07,4b3a7a8b-9ccd-4fa5-a443-f7ff85aed471,3b17def2-9d28-4988-a2b2-c86262b11ce1,8fbb74d2-68d8-4386-8a07-d695b35dc168,Fase de cut-over,2025-11-11,true,Ajustes en el sistema aprobados por cliente,Fase fiSAPl previa al Go-Live,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
d24da1d6-7db7-4b0f-8278-c0b81b6be6f8,e49e8adb-34ca-493e-9d16-698b0926d023,903c2793-1140-40ed-83d4-e97d1efe1b9c,2025-10-07,375d609c-2eb6-4967-ac5d-41e62c18ce64,180f218d-2e17-4de4-bda0-6e7e889015c3,6b9cab21-40bc-44ab-9937-a78a7a97d974,Fase post-GoLive,2025-11-11,true,Equipo de soporte detecto tickets criticos en sistema,Analisis postproductivo,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
c08b2eb7-5c24-4312-bbf8-94626bc9e959,b1e3952b-1869-43aa-9494-d378ed58694b,adf45741-c302-45a2-b510-194705491459,2025-10-07,efcb3b8c-3354-47d1-ab01-0f50da080af6,180f218d-2e17-4de4-bda0-6e7e889015c3,11df55ff-082c-46ee-831b-768407134309,Fase de analisis,2025-11-11,true,Equipo tecnico solicito redefinicion de alcance,SemaSAP de cambios relevantes,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
abc9ecfb-a103-44da-bbf8-b90b741eaaaf,e748c81a-ffeb-4fbe-aaa9-121e04aa858a,d394279b-679f-4447-96e8-3ef254c2e504,2025-10-07,31ae59d7-8a59-42dd-8cd4-43dca06e7a62,180f218d-2e17-4de4-bda0-6e7e889015c3,f2d13217-da15-4f0f-9304-a740d6e264bf,Fase de dise�o,2025-11-11,true,Retrasos leves por disponibilidad de usuarios clave,SemaSAP de coordiSAPcion operativa,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
13103014-bd26-430c-b267-b235a79b940d,1d24e73f-3c35-42e7-ab49-d22c64453a54,0accbbef-5909-4a3d-80bc-0f0a51d4db50,2025-10-07,867390e0-8d82-4b34-af3f-02c8f083ba7f,3b17def2-9d28-4988-a2b2-c86262b11ce1,26e207aa-68c8-43f4-afcc-73d4c3a384a2,Fase de configuracion,2025-11-11,true,Pruebas unitarias avanzan segun cronograma,SemaSAP tecnica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
f6e3eba2-f010-482b-aadc-5ad3c2d40561,c3e888d0-b7f1-46d3-9887-1c9f752aff96,cc3723ba-ddc1-45c7-aede-c607ce5a56f1,2025-10-07,6c23ed16-2804-4c55-b3a7-0f4df284fb49,3b17def2-9d28-4988-a2b2-c86262b11ce1,dc2b8e65-9d4f-4f8f-a1d0-4594573fd63d,Fase de capacitacion,2025-11-11,false,Se requiere mayor disponibilidad del equipo cliente,Capacitacion en curso,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
89ed5d78-ef48-4f85-aeb4-5b177410c7ce,272adfb4-98b4-45d1-86cf-48ef092721e5,644c35e4-ba7e-4aa6-958b-58577cfb947d,2025-10-07,4b3a7a8b-9ccd-4fa5-a443-f7ff85aed471,3b17def2-9d28-4988-a2b2-c86262b11ce1,677cae53-b0ac-41c8-803f-4acaf2e40dec,Fase de integracion,2025-11-11,true,Bloqueos por dependencias exterSAPs aun sin resolver,SemaSAP critica,SAP,SAP,SAP,SAP, Sin incidentes abiertos escalados a la Customer Office.,SAP,SAP,,,,
